[2026-06-02 21:19:30] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 21:20:10] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 21:20:12] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 21:46:35] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 21:46:36] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 21:49:55] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 21:49:57] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 21:50:16] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: page_1
[2026-06-02 21:50:29] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_10
[2026-06-02 21:50:40] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_6
[2026-06-02 21:50:42] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: page_0
[2026-06-02 21:50:46] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_1
[2026-06-02 21:51:30] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 21:51:31] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 21:55:37] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 21:55:39] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 21:55:55] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-02 21:58:10] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: main_menu
[2026-06-02 21:58:12] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 21:58:13] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 21:58:28] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-02 22:07:31] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 22:07:32] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 22:27:20] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 22:27:21] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 22:27:27] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-02 22:27:42] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-02 22:31:12] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 22:31:14] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 22:31:28] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-02 22:31:46] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: remind_0
[2026-06-02 22:31:57] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: main_menu
[2026-06-02 22:32:16] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 22:32:17] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_tomorrow
[2026-06-02 22:32:22] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-02 23:04:28] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
